,num_frames,mota,motp,num_switches,idfp,idfn,idtp,mostly_tracked,mostly_lost,num_unique_objects,min_mota,max_mota,conf_threshold
0,,-0.4206799955155063,0.1618555694348928,1546,366734.0,231335.0,346899.0,2734,814,5936,-12.51085141903172,0.7441799861014593,0.9
1,,-0.7502510722840594,0.16361396803016734,1855,513740.0,215740.0,362494.0,3067,723,5936,-15.647746243739565,0.7332348853370396,0.8
2,,-1.0012515657388503,0.1643899712601906,2179,620519.0,211726.0,366508.0,3189,680,5936,-17.71118530884808,0.7254169562195969,0.7
3,,-1.1983284742624347,0.16472466501498564,2545,710875.0,211371.0,366863.0,3265,654,5936,-19.195325542570952,0.7137769284225156,0.6
4,,-1.3795580492918909,0.16497974957016426,2834,792865.0,211054.0,367180.0,3333,630,5936,-20.38397328881469,0.7027449617790131,0.5
5,,-1.5528461103596478,0.16514320328278073,3156,873715.0,212783.0,365451.0,3370,622,5936,-21.49415692821369,0.6858929812369701,0.4
6,,-1.7504490927895981,0.16523743102780764,3751,960991.0,216543.0,361691.0,3392,616,5936,-23.093489148580968,0.6667824878387769,0.29999999999999993
7,,-2.006379045035544,0.16537669816908235,4513,1070004.0,222082.0,356152.0,3437,614,5936,-25.554257095158597,0.6315149409312022,0.19999999999999996
8,,-2.446104665739274,0.1655019986617946,6425,1247977.0,233698.0,344536.0,3472,598,5936,-30.639398998330552,0.5712300208478109,0.09999999999999998
9,,-4.658209835678748,0.16561968324176662,21639,2268562.0,316913.0,261321.0,3804,429,5936,-46.3856427378965,0.08634468380820015,0.0
